28.79,31.83,38,46.09,54.13,59.97,62.08,59.09,52.25,43.49,35.58,30.41,28.55,29.11,29.03,25.44,18.42,11.61,8.17,7.58,7,5.91,5.95,7.99,12.2,18.23,25.35,33.1,41.74,50.38
28.37,31.28,36.95,44.21,51.29,56.32,57.86,55.2,49.3,42.27,36.36,33.18,32.88,33.85,33.01,27.72,18.91,10.91,7.36,7.5,7.75,6.78,6.25,7.65,11.41,17.21,24.31,32.19,41.1,50.3
27.74,30.58,36.34,43.83,51.19,56.44,58.03,55.21,49,41.65,35.55,32.41,32.38,33.79,33.35,28.17,19.13,10.81,7.09,7.24,7.55,6.56,5.89,7.12,10.73,16.47,23.62,31.64,40.76,50.43
28.21,31.93,39.22,48.6,57.79,64.34,66.41,62.59,54.18,43.88,34.87,29.76,29.14,31.71,33.5,30.33,21.68,12,6.76,6.57,7.72,7.53,6.73,7.22,10,15.09,21.95,30.03,39.44,49.02
28.63,31.78,37.99,45.96,53.69,59.12,60.64,57.3,50.25,41.89,34.9,31.29,31.4,33.62,34.26,29.84,20.77,11.66,7.16,7.18,8.09,7.73,7.16,8.12,11.31,16.64,23.48,31.32,40.32,49.18
22.81,26.92,35.58,47.44,60.05,70.46,76.23,75.23,68.24,57.3,46.01,37.21,32.37,31.13,30.73,27.26,19.36,10.75,6.23,6.18,7.16,6.64,5.27,5.15,7.47,12.35,19.36,27.87,38.01,49.23
22.03,28.35,39.61,54.65,70.47,83.53,91.27,90.53,82.5,68.57,53.32,40.06,31.53,28.33,27.68,25.08,18.32,10.6,6.38,6.27,7.2,6.74,5.54,5.52,7.8,12.57,19.44,27.87,37.96,48.63
28.88,35.97,48.04,63.51,79.19,91.44,97.53,94.23,82.92,65.57,47.42,33.06,25.86,26.3,29.57,28.93,21.61,11.8,6.04,5.74,6.9,6.47,5.24,5.35,7.87,12.89,19.94,28.46,38.55,49.21
18.57,25.14,36.77,53.06,71.18,87.11,97.36,99.47,93.4,79.99,64.03,50.04,41.61,38.48,37.17,32.56,23.03,12.48,6.79,6.81,8.22,7.75,6.24,6.22,8.81,13.99,21.14,29.59,39.33,48.93
26.69,32.91,43.73,58.01,72.92,84.92,90.91,88.42,77.95,62.09,45.49,33.13,27.95,29.76,33.48,32.17,23.44,12.03,5.51,5.38,6.81,6.46,5.33,5.72,8.53,13.76,20.9,29.36,39.25,49.56
